year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,1,Bronx,17.00553110503152,285931.0,Evening Peak,Post Policy,2024-12-30
2025,1,Brooklyn,32.5319241945023,1265134.0,Evening Peak,Post Policy,2024-12-30
2025,1,Manhattan,128.08206474190726,4391934.0,Evening Peak,Post Policy,2024-12-30
2025,1,Queens,37.98841678513136,721514.0,Evening Peak,Post Policy,2024-12-30
2025,2,Bronx,18.86088968886603,293400.0,Evening Peak,Post Policy,2025-01-06
2025,2,Brooklyn,34.140068823124565,1240138.0,Evening Peak,Post Policy,2025-01-06
2025,2,Manhattan,153.7018483443276,4706658.0,Evening Peak,Post Policy,2025-01-06
2025,2,Queens,39.597225433526006,685032.0,Evening Peak,Post Policy,2025-01-06
2025,3,Bronx,19.411254306494833,304252.0,Evening Peak,Post Policy,2025-01-13
2025,3,Brooklyn,34.22143089254766,1263729.0,Evening Peak,Post Policy,2025-01-13
2025,3,Manhattan,152.92580780258368,4746970.0,Evening Peak,Post Policy,2025-01-13
2025,3,Queens,40.54925252057017,699799.0,Evening Peak,Post Policy,2025-01-13
2025,4,Bronx,17.365422026984625,276718.0,Evening Peak,Post Policy,2025-01-20
2025,4,Brooklyn,31.9342091152815,1191146.0,Evening Peak,Post Policy,2025-01-20
2025,4,Manhattan,142.04660499775164,4422479.0,Evening Peak,Post Policy,2025-01-20
2025,4,Queens,40.69697347893916,652169.0,Evening Peak,Post Policy,2025-01-20
2025,5,Bronx,18.578978587104807,313223.0,Evening Peak,Post Policy,2025-01-27
2025,5,Brooklyn,33.14013017416583,1288190.0,Evening Peak,Post Policy,2025-01-27
2025,5,Manhattan,148.64288987322436,4865825.0,Evening Peak,Post Policy,2025-01-27
2025,5,Queens,41.69130667300493,701623.0,Evening Peak,Post Policy,2025-01-27
2025,6,Bronx,19.298445776820536,331528.0,Evening Peak,Post Policy,2025-02-03
2025,6,Brooklyn,33.98442714126808,1344288.0,Evening Peak,Post Policy,2025-02-03
2025,6,Manhattan,150.30473580021317,4935256.0,Evening Peak,Post Policy,2025-02-03
2025,6,Queens,42.051729131668885,725939.0,Evening Peak,Post Policy,2025-02-03
2025,7,Bronx,19.067114093959727,326715.0,Evening Peak,Post Policy,2025-02-10
2025,7,Brooklyn,33.3625730994152,1312150.0,Evening Peak,Post Policy,2025-02-10
2025,7,Manhattan,149.90541452048075,4889315.0,Evening Peak,Post Policy,2025-02-10
2025,7,Queens,41.692236330956106,719066.0,Evening Peak,Post Policy,2025-02-10
2025,8,Bronx,16.295235345076524,282152.0,Evening Peak,Post Policy,2025-02-17
2025,8,Brooklyn,30.778098932582843,1213919.0,Evening Peak,Post Policy,2025-02-17
2025,8,Manhattan,138.5548836638222,4513841.0,Evening Peak,Post Policy,2025-02-17
2025,8,Queens,40.00763728936841,660046.0,Evening Peak,Post Policy,2025-02-17
2025,9,Bronx,20.12389642709012,339631.0,Evening Peak,Post Policy,2025-02-24
2025,9,Brooklyn,34.402675368672774,1381061.0,Evening Peak,Post Policy,2025-02-24
2025,9,Manhattan,151.60939450211575,4980217.0,Evening Peak,Post Policy,2025-02-24
2025,9,Queens,43.09763193111072,740719.0,Evening Peak,Post Policy,2025-02-24
2025,10,Bronx,19.496294989414253,331515.0,Evening Peak,Post Policy,2025-03-03
2025,10,Brooklyn,34.00544015825915,1375180.0,Evening Peak,Post Policy,2025-03-03
2025,10,Manhattan,150.83582532336536,5084374.0,Evening Peak,Post Policy,2025-03-03
2025,10,Queens,42.92318968044562,732055.0,Evening Peak,Post Policy,2025-03-03
2025,11,Bronx,20.192695819317635,336168.0,Evening Peak,Post Policy,2025-03-10
2025,11,Brooklyn,33.75172298267445,1410417.0,Evening Peak,Post Policy,2025-03-10
2025,11,Manhattan,149.4386188887277,5150402.0,Evening Peak,Post Policy,2025-03-10
2025,11,Queens,42.270825346404514,771823.0,Evening Peak,Post Policy,2025-03-10
2025,12,Bronx,19.15642585119081,337019.0,Evening Peak,Post Policy,2025-03-17
2025,12,Brooklyn,33.833823742221796,1402818.0,Evening Peak,Post Policy,2025-03-17
2025,12,Manhattan,142.95033385424065,5031137.0,Evening Peak,Post Policy,2025-03-17
2025,12,Queens,42.290645267670655,769436.0,Evening Peak,Post Policy,2025-03-17
2025,13,Bronx,20.913100508280046,382647.0,Evening Peak,Post Policy,2025-03-24
2025,13,Brooklyn,33.1864973103628,1400437.0,Evening Peak,Post Policy,2025-03-24
2025,13,Manhattan,143.02406108246697,5076353.0,Evening Peak,Post Policy,2025-03-24
2025,13,Queens,41.109992542878445,771799.0,Evening Peak,Post Policy,2025-03-24
2025,14,Bronx,18.529101980360963,337767.0,Evening Peak,Post Policy,2025-03-31
2025,14,Brooklyn,32.27051018501215,1381436.0,Evening Peak,Post Policy,2025-03-31
2025,14,Manhattan,142.89380654920305,5101166.0,Evening Peak,Post Policy,2025-03-31
2025,14,Queens,41.61699494134108,773327.0,Evening Peak,Post Policy,2025-03-31
2025,15,Bronx,19.33832140533507,356676.0,Evening Peak,Post Policy,2025-04-07
2025,15,Brooklyn,31.507477727137395,1375711.0,Evening Peak,Post Policy,2025-04-07
2025,15,Manhattan,144.4324708637707,5180215.0,Evening Peak,Post Policy,2025-04-07
2025,15,Queens,40.67269928882284,766355.0,Evening Peak,Post Policy,2025-04-07
2025,16,Bronx,16.418682191055833,310231.0,Evening Peak,Post Policy,2025-04-14
2025,16,Brooklyn,29.868375046006623,1298438.0,Evening Peak,Post Policy,2025-04-14
2025,16,Manhattan,142.5410101235463,5111093.0,Evening Peak,Post Policy,2025-04-14
2025,16,Queens,40.13475821533529,751122.0,Evening Peak,Post Policy,2025-04-14
2025,17,Bronx,18.788400020976454,358276.0,Evening Peak,Post Policy,2025-04-21
2025,17,Brooklyn,32.86370843578372,1430130.0,Evening Peak,Post Policy,2025-04-21
2025,17,Manhattan,146.6314211140112,5280784.0,Evening Peak,Post Policy,2025-04-21
2025,17,Queens,41.33066027910852,793714.0,Evening Peak,Post Policy,2025-04-21
2025,18,Bronx,19.6170258047353,368702.0,Evening Peak,Post Policy,2025-04-28
2025,18,Brooklyn,33.4612105116019,1436289.0,Evening Peak,Post Policy,2025-04-28
2025,18,Manhattan,146.7331728774172,5303964.0,Evening Peak,Post Policy,2025-04-28
2025,18,Queens,41.95836142079336,809167.0,Evening Peak,Post Policy,2025-04-28
2025,19,Bronx,17.697507592418052,337987.0,Evening Peak,Post Policy,2025-05-05
2025,19,Brooklyn,32.64613761951712,1423796.0,Evening Peak,Post Policy,2025-05-05
2025,19,Manhattan,146.1289736102694,5304774.0,Evening Peak,Post Policy,2025-05-05
2025,19,Queens,41.47911144099247,782379.0,Evening Peak,Post Policy,2025-05-05
2025,20,Bronx,18.659049312346387,356817.0,Evening Peak,Post Policy,2025-05-12
2025,20,Brooklyn,32.61429633467751,1447716.0,Evening Peak,Post Policy,2025-05-12
2025,20,Manhattan,147.28150958024145,5319219.0,Evening Peak,Post Policy,2025-05-12
2025,20,Queens,41.36754658385093,799221.0,Evening Peak,Post Policy,2025-05-12
2025,21,Bronx,17.980358265241986,343281.0,Evening Peak,Post Policy,2025-05-19
2025,21,Brooklyn,31.930232558139533,1407325.0,Evening Peak,Post Policy,2025-05-19
2025,21,Manhattan,143.6995673636918,5181519.0,Evening Peak,Post Policy,2025-05-19
2025,21,Queens,38.02030264218965,801506.0,Evening Peak,Post Policy,2025-05-19
2025,22,Bronx,16.94124367553452,311397.0,Evening Peak,Post Policy,2025-05-26
2025,22,Brooklyn,31.42535646004653,1364269.0,Evening Peak,Post Policy,2025-05-26
2025,22,Manhattan,135.01826380420295,4760879.0,Evening Peak,Post Policy,2025-05-26
2025,22,Queens,37.750409007795206,784529.0,Evening Peak,Post Policy,2025-05-26
2025,23,Bronx,18.17024847074108,335659.0,Evening Peak,Post Policy,2025-06-02
2025,23,Brooklyn,32.436186986968416,1398843.0,Evening Peak,Post Policy,2025-06-02
2025,23,Manhattan,147.5745305164319,5280807.0,Evening Peak,Post Policy,2025-06-02
2025,23,Queens,37.99596352930003,800119.0,Evening Peak,Post Policy,2025-06-02
2025,24,Bronx,18.11005434782609,333225.0,Evening Peak,Post Policy,2025-06-09
2025,24,Brooklyn,32.09115017946549,1403699.0,Evening Peak,Post Policy,2025-06-09
2025,24,Manhattan,145.984478686312,5191792.0,Evening Peak,Post Policy,2025-06-09
2025,24,Queens,38.93968748478801,799938.0,Evening Peak,Post Policy,2025-06-09
2025,25,Bronx,18.438179533409823,337474.0,Evening Peak,Post Policy,2025-06-16
2025,25,Brooklyn,31.788417006298626,1372751.0,Evening Peak,Post Policy,2025-06-16
2025,25,Manhattan,136.86271468456528,4853015.0,Evening Peak,Post Policy,2025-06-16
2025,25,Queens,38.42416181489661,765563.0,Evening Peak,Post Policy,2025-06-16
